Activating virtual environment:  SNPNet
/faststorage/project/NLPPred/snp-compression/SNPNet/bin/python
Training SNPNet
wandb: Currently logged in as: kenevoldsen (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run volcanic-jazz-66
wandb: ⭐️ View project at https://wandb.ai/kenevoldsen/snp-compression
wandb: 🚀 View run at https://wandb.ai/kenevoldsen/snp-compression/runs/7jhonue9
wandb: Run data is saved locally in /home/kce/NLPPred/snp-compression/models/wandb/run-20220223_111624-7jhonue9
wandb: Run `wandb offline` to turn off syncing.
Using 16bit native Automatic Mixed Precision (AMP)
GPU available: True, used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
Set SLURM handle signals.


Finding best initial lr:   0% 0/100 [00:00<?, ?it/s]
Finding best initial lr:   1% 1/100 [00:00<00:29,  3.32it/s]
Finding best initial lr:   2% 2/100 [00:00<00:25,  3.77it/s]
Finding best initial lr:   3% 3/100 [00:00<00:24,  3.96it/s]
Finding best initial lr:   4% 4/100 [00:01<00:23,  4.05it/s]
Finding best initial lr:   5% 5/100 [00:01<00:23,  4.10it/s]
Finding best initial lr:   6% 6/100 [00:01<00:22,  4.11it/s]
Finding best initial lr:   7% 7/100 [00:01<00:22,  4.13it/s]
Finding best initial lr:   8% 8/100 [00:01<00:22,  4.14it/s]
Finding best initial lr:   9% 9/100 [00:02<00:21,  4.14it/s]
Finding best initial lr:  10% 10/100 [00:02<00:21,  4.16it/s]
Finding best initial lr:  11% 11/100 [00:02<00:21,  4.16it/s]
Finding best initial lr:  12% 12/100 [00:02<00:21,  4.16it/s]
Finding best initial lr:  13% 13/100 [00:03<00:20,  4.17it/s]
Finding best initial lr:  14% 14/100 [00:03<00:20,  4.17it/s]
Finding best initial lr:  15% 15/100 [00:03<00:20,  4.17it/s]
Finding best initial lr:  16% 16/100 [00:03<00:20,  4.18it/s]
Finding best initial lr:  17% 17/100 [00:04<00:19,  4.18it/s]
Finding best initial lr:  18% 18/100 [00:04<00:19,  4.17it/s]
Finding best initial lr:  19% 19/100 [00:04<00:19,  4.18it/s]
Finding best initial lr:  20% 20/100 [00:04<00:19,  4.17it/s]
Finding best initial lr:  21% 21/100 [00:05<00:18,  4.18it/s]
Finding best initial lr:  22% 22/100 [00:05<00:18,  4.18it/s]
Finding best initial lr:  23% 23/100 [00:05<00:18,  4.19it/s]
Finding best initial lr:  24% 24/100 [00:05<00:18,  4.19it/s]
Finding best initial lr:  25% 25/100 [00:06<00:17,  4.18it/s]
Finding best initial lr:  26% 26/100 [00:06<00:17,  4.18it/s]
Finding best initial lr:  27% 27/100 [00:06<00:17,  4.18it/s]
Finding best initial lr:  28% 28/100 [00:06<00:17,  4.17it/s]
Finding best initial lr:  29% 29/100 [00:07<00:17,  4.18it/s]
Finding best initial lr:  30% 30/100 [00:07<00:16,  4.17it/s]
Finding best initial lr:  31% 31/100 [00:07<00:16,  4.18it/s]
Finding best initial lr:  32% 32/100 [00:07<00:16,  4.18it/s]
Finding best initial lr:  33% 33/100 [00:07<00:15,  4.19it/s]
Finding best initial lr:  34% 34/100 [00:08<00:15,  4.19it/s]
Finding best initial lr:  35% 35/100 [00:08<00:15,  4.19it/s]
Finding best initial lr:  36% 36/100 [00:08<00:15,  4.19it/s]
Finding best initial lr:  37% 37/100 [00:08<00:15,  4.19it/s]
Finding best initial lr:  38% 38/100 [00:09<00:14,  4.19it/s]
Finding best initial lr:  39% 39/100 [00:09<00:14,  4.19it/s]
Finding best initial lr:  40% 40/100 [00:09<00:14,  4.20it/s]
Finding best initial lr:  41% 41/100 [00:09<00:14,  4.20it/s]
Finding best initial lr:  42% 42/100 [00:10<00:13,  4.19it/s]
Finding best initial lr:  43% 43/100 [00:10<00:13,  4.19it/s]
Finding best initial lr:  44% 44/100 [00:10<00:13,  4.19it/s]
Finding best initial lr:  45% 45/100 [00:10<00:13,  4.19it/s]
Finding best initial lr:  46% 46/100 [00:11<00:12,  4.20it/s]
Finding best initial lr:  47% 47/100 [00:11<00:12,  4.19it/s]
Finding best initial lr:  48% 48/100 [00:11<00:12,  4.20it/s]
Finding best initial lr:  49% 49/100 [00:11<00:12,  4.19it/s]
Finding best initial lr:  50% 50/100 [00:12<00:11,  4.19it/s]
Finding best initial lr:  51% 51/100 [00:12<00:11,  4.19it/s]
Finding best initial lr:  52% 52/100 [00:12<00:11,  4.19it/s]
Finding best initial lr:  53% 53/100 [00:12<00:11,  4.19it/s]
Finding best initial lr:  54% 54/100 [00:12<00:10,  4.20it/s]
Finding best initial lr:  55% 55/100 [00:13<00:10,  4.19it/s]
Finding best initial lr:  56% 56/100 [00:13<00:10,  4.19it/s]
Finding best initial lr:  57% 57/100 [00:13<00:10,  4.18it/s]
Finding best initial lr:  58% 58/100 [00:13<00:10,  4.19it/s]
Finding best initial lr:  59% 59/100 [00:14<00:09,  4.19it/s]
Finding best initial lr:  60% 60/100 [00:14<00:09,  4.19it/s]
Finding best initial lr:  61% 61/100 [00:14<00:09,  4.19it/s]
Finding best initial lr:  62% 62/100 [00:14<00:09,  4.19it/s]
Finding best initial lr:  63% 63/100 [00:15<00:08,  4.19it/s]
Finding best initial lr:  64% 64/100 [00:15<00:08,  4.19it/s]
Finding best initial lr:  65% 65/100 [00:15<00:08,  4.19it/s]
Finding best initial lr:  66% 66/100 [00:15<00:08,  4.20it/s]
Finding best initial lr:  67% 67/100 [00:16<00:07,  4.20it/s]
Finding best initial lr:  68% 68/100 [00:16<00:07,  4.20it/s]
Finding best initial lr:  69% 69/100 [00:16<00:07,  4.19it/s]
Finding best initial lr:  70% 70/100 [00:16<00:07,  4.18it/s]
Finding best initial lr:  71% 71/100 [00:17<00:06,  4.19it/s]
Finding best initial lr:  72% 72/100 [00:17<00:06,  4.19it/s]
Finding best initial lr:  73% 73/100 [00:17<00:06,  4.19it/s]
Finding best initial lr:  74% 74/100 [00:17<00:06,  4.19it/s]
Finding best initial lr:  75% 75/100 [00:17<00:05,  4.19it/s]
Finding best initial lr:  76% 76/100 [00:18<00:05,  4.19it/s]
Finding best initial lr:  77% 77/100 [00:18<00:05,  4.19it/s]
Finding best initial lr:  78% 78/100 [00:18<00:05,  4.19it/s]
Finding best initial lr:  79% 79/100 [00:18<00:05,  4.19it/s]
Finding best initial lr:  80% 80/100 [00:19<00:04,  4.19it/s]
Finding best initial lr:  81% 81/100 [00:19<00:04,  4.18it/s]
Finding best initial lr:  82% 82/100 [00:19<00:04,  4.18it/s]
Finding best initial lr:  83% 83/100 [00:19<00:04,  4.19it/s]
Finding best initial lr:  84% 84/100 [00:20<00:03,  4.19it/s]
Finding best initial lr:  85% 85/100 [00:20<00:03,  4.19it/s]
Finding best initial lr:  86% 86/100 [00:20<00:03,  4.18it/s]
Finding best initial lr:  87% 87/100 [00:20<00:03,  4.18it/s]
Finding best initial lr:  88% 88/100 [00:21<00:02,  4.18it/s]
Finding best initial lr:  89% 89/100 [00:21<00:02,  4.19it/s]
Finding best initial lr:  90% 90/100 [00:21<00:02,  4.19it/s]
