Activating virtual environment:  SNPNet
/faststorage/project/NLPPred/snp-compression/SNPNet/bin/python
Training SNPNet
wandb: Currently logged in as: kenevoldsen (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run leafy-salad-69
wandb: ⭐️ View project at https://wandb.ai/kenevoldsen/snp-compression
wandb: 🚀 View run at https://wandb.ai/kenevoldsen/snp-compression/runs/14gdi6di
wandb: Run data is saved locally in /home/kce/NLPPred/snp-compression/models/wandb/run-20220223_144506-14gdi6di
wandb: Run `wandb offline` to turn off syncing.
Using 16bit native Automatic Mixed Precision (AMP)
GPU available: True, used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
Set SLURM handle signals.


Finding best initial lr:   0% 0/100 [00:00<?, ?it/s]
Finding best initial lr:   1% 1/100 [00:00<01:30,  1.09it/s]
Finding best initial lr:   2% 2/100 [00:01<00:49,  1.97it/s]
Finding best initial lr:   3% 3/100 [00:01<00:36,  2.64it/s]
Finding best initial lr:   4% 4/100 [00:01<00:30,  3.18it/s]
Finding best initial lr:   5% 5/100 [00:01<00:26,  3.58it/s]
Finding best initial lr:   6% 6/100 [00:02<00:24,  3.89it/s]
Finding best initial lr:   7% 7/100 [00:02<00:22,  4.11it/s]
Finding best initial lr:   8% 8/100 [00:02<00:21,  4.26it/s]
Finding best initial lr:   9% 9/100 [00:02<00:20,  4.37it/s]
Finding best initial lr:  10% 10/100 [00:02<00:20,  4.44it/s]
Finding best initial lr:  11% 11/100 [00:03<00:19,  4.50it/s]
Finding best initial lr:  12% 12/100 [00:03<00:19,  4.54it/s]
Finding best initial lr:  13% 13/100 [00:03<00:19,  4.56it/s]
Finding best initial lr:  14% 14/100 [00:03<00:18,  4.57it/s]
Finding best initial lr:  15% 15/100 [00:03<00:18,  4.58it/s]
Finding best initial lr:  16% 16/100 [00:04<00:18,  4.61it/s]
Finding best initial lr:  17% 17/100 [00:04<00:18,  4.53it/s]
Finding best initial lr:  18% 18/100 [00:04<00:17,  4.56it/s]
Finding best initial lr:  19% 19/100 [00:04<00:17,  4.58it/s]
Finding best initial lr:  20% 20/100 [00:05<00:17,  4.60it/s]
Finding best initial lr:  21% 21/100 [00:05<00:17,  4.61it/s]
Finding best initial lr:  22% 22/100 [00:05<00:16,  4.63it/s]
Finding best initial lr:  23% 23/100 [00:05<00:16,  4.63it/s]
Finding best initial lr:  24% 24/100 [00:05<00:16,  4.62it/s]
Finding best initial lr:  25% 25/100 [00:06<00:16,  4.64it/s]
Finding best initial lr:  26% 26/100 [00:06<00:15,  4.64it/s]
Finding best initial lr:  27% 27/100 [00:06<00:15,  4.65it/s]
Finding best initial lr:  28% 28/100 [00:06<00:15,  4.65it/s]
Finding best initial lr:  29% 29/100 [00:06<00:15,  4.64it/s]
Finding best initial lr:  30% 30/100 [00:07<00:15,  4.65it/s]
Finding best initial lr:  31% 31/100 [00:07<00:14,  4.64it/s]
Finding best initial lr:  32% 32/100 [00:07<00:14,  4.64it/s]
Finding best initial lr:  33% 33/100 [00:07<00:14,  4.64it/s]
Finding best initial lr:  34% 34/100 [00:08<00:14,  4.65it/s]
Finding best initial lr:  35% 35/100 [00:08<00:13,  4.65it/s]
Finding best initial lr:  36% 36/100 [00:08<00:13,  4.65it/s]
Finding best initial lr:  37% 37/100 [00:08<00:13,  4.65it/s]
Finding best initial lr:  38% 38/100 [00:08<00:13,  4.66it/s]
Finding best initial lr:  39% 39/100 [00:09<00:13,  4.66it/s]
Finding best initial lr:  40% 40/100 [00:09<00:12,  4.67it/s]
Finding best initial lr:  41% 41/100 [00:09<00:12,  4.66it/s]
Finding best initial lr:  42% 42/100 [00:09<00:12,  4.65it/s]
Finding best initial lr:  43% 43/100 [00:09<00:12,  4.66it/s]
Finding best initial lr:  44% 44/100 [00:10<00:12,  4.67it/s]
Finding best initial lr:  45% 45/100 [00:10<00:11,  4.67it/s]
Finding best initial lr:  46% 46/100 [00:10<00:11,  4.66it/s]
Finding best initial lr:  47% 47/100 [00:10<00:11,  4.65it/s]
Finding best initial lr:  48% 48/100 [00:11<00:11,  4.66it/s]
Finding best initial lr:  49% 49/100 [00:11<00:10,  4.67it/s]
Finding best initial lr:  50% 50/100 [00:11<00:10,  4.66it/s]
Finding best initial lr:  51% 51/100 [00:11<00:10,  4.67it/s]
Finding best initial lr:  52% 52/100 [00:11<00:10,  4.66it/s]
Finding best initial lr:  53% 53/100 [00:12<00:10,  4.66it/s]
Finding best initial lr:  54% 54/100 [00:12<00:09,  4.65it/s]
Finding best initial lr:  55% 55/100 [00:12<00:09,  4.66it/s]
Finding best initial lr:  56% 56/100 [00:12<00:09,  4.67it/s]
Finding best initial lr:  57% 57/100 [00:12<00:09,  4.67it/s]
Finding best initial lr:  58% 58/100 [00:13<00:08,  4.67it/s]
Finding best initial lr:  59% 59/100 [00:13<00:08,  4.67it/s]
Finding best initial lr:  60% 60/100 [00:13<00:08,  4.66it/s]
Finding best initial lr:  61% 61/100 [00:13<00:08,  4.66it/s]
Finding best initial lr:  62% 62/100 [00:14<00:08,  4.65it/s]
Finding best initial lr:  63% 63/100 [00:14<00:07,  4.65it/s]
Finding best initial lr:  64% 64/100 [00:14<00:07,  4.66it/s]
Finding best initial lr:  65% 65/100 [00:14<00:07,  4.65it/s]
Finding best initial lr:  66% 66/100 [00:14<00:07,  4.62it/s]
Finding best initial lr:  67% 67/100 [00:15<00:07,  4.62it/s]
Finding best initial lr:  68% 68/100 [00:15<00:06,  4.64it/s]
Finding best initial lr:  69% 69/100 [00:15<00:06,  4.63it/s]
Finding best initial lr:  70% 70/100 [00:15<00:06,  4.64it/s]
Finding best initial lr:  71% 71/100 [00:16<00:06,  4.64it/s]
Finding best initial lr:  72% 72/100 [00:16<00:06,  4.64it/s]
Finding best initial lr:  73% 73/100 [00:16<00:05,  4.65it/s]
Finding best initial lr:  74% 74/100 [00:16<00:05,  4.65it/s]
Finding best initial lr:  75% 75/100 [00:16<00:05,  4.65it/s]
Finding best initial lr:  76% 76/100 [00:17<00:05,  4.66it/s]
Finding best initial lr:  77% 77/100 [00:17<00:04,  4.66it/s]
Finding best initial lr:  78% 78/100 [00:17<00:04,  4.67it/s]
Finding best initial lr:  79% 79/100 [00:17<00:04,  4.66it/s]
Finding best initial lr:  80% 80/100 [00:17<00:04,  4.64it/s]
Finding best initial lr:  81% 81/100 [00:18<00:04,  4.65it/s]
Finding best initial lr:  82% 82/100 [00:18<00:03,  4.66it/s]
Finding best initial lr:  83% 83/100 [00:18<00:03,  4.65it/s]
Finding best initial lr:  84% 84/100 [00:18<00:03,  4.66it/s]
Finding best initial lr:  85% 85/100 [00:19<00:03,  4.65it/s]
Finding best initial lr:  86% 86/100 [00:19<00:03,  4.66it/s]
Finding best initial lr:  87% 87/100 [00:19<00:02,  4.66it/s]
Finding best initial lr:  88% 88/100 [00:19<00:02,  4.58it/s]
Finding best initial lr:  89% 89/100 [00:19<00:02,  4.59it/s]
Finding best initial lr:  90% 90/100 [00:20<00:02,  4.60it/s]
Finding best initial lr:  91% 91/100 [00:20<00:01,  4.62it/s]
Finding best initial lr:  92% 92/100 [00:20<00:01,  4.64it/s]
Finding best initial lr:  93% 93/100 [00:20<00:01,  4.64it/s]
Finding best initial lr:  94% 94/100 [00:20<00:01,  4.64it/s]
Finding best initial lr:  95% 95/100 [00:21<00:01,  4.65it/s]
Finding best initial lr:  96% 96/100 [00:21<00:00,  4.65it/s]
Finding best initial lr:  97% 97/100 [00:21<00:00,  4.65it/s]
Finding best initial lr:  98% 98/100 [00:21<00:00,  4.65it/s]
Finding best initial lr:  99% 99/100 [00:22<00:00,  4.64it/s]
Finding best initial lr: 100% 100/100 [00:22<00:00,  4.69it/s]Restoring states from the checkpoint path at /home/kce/NLPPred/snp-compression/models/lr_find_temp_model_635452ab-8c4c-4c66-946a-97522aae163a.ckpt

Finding best initial lr: 100% 100/100 [00:22<00:00,  4.42it/s]
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
Set SLURM handle signals.

  | Name     | Type                 | Params
--------------------------------------------------
0 | model    | DenoisingAutoencoder | 2.3 M 
1 | loss     | CrossEntropyLoss     | 0     
2 | accuracy | Accuracy             | 0     
3 | f1       | F1Score              | 0     
4 | conf_mat | ConfusionMatrix      | 0     
--------------------------------------------------
2.3 M     Trainable params
0         Non-trainable params
2.3 M     Total params
4.542     Total estimated model params size (MB)

Validation sanity check: 0it [00:00, ?it/s]
Validation sanity check:   0% 0/2 [00:00<?, ?it/s]
Validation sanity check:  50% 1/2 [00:06<00:06,  6.96s/it]
Validation sanity check: 100% 2/2 [00:08<00:00,  3.63s/it]
                                                          /faststorage/project/NLPPred/snp-compression/SNPNet/lib/python3.8/site-packages/pytorch_lightning/loggers/wandb.py:341: UserWarning:

There is a wandb run already in progress and newly created instances of `WandbLogger` will reuse this run. If this is not desired, call `wandb.finish()` before instantiating `WandbLogger`.


Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 1it [00:02,  2.36s/it]
Epoch 0: : 1it [00:02,  2.36s/it, loss=nan, v_num=i6di]
Epoch 0: : 2it [00:02,  1.29s/it, loss=nan, v_num=i6di]
Epoch 0: : 2it [00:02,  1.29s/it, loss=nan, v_num=i6di]
Epoch 0: : 3it [00:02,  1.07it/s, loss=nan, v_num=i6di]
Epoch 0: : 3it [00:02,  1.07it/s, loss=nan, v_num=i6di]
Epoch 0: : 4it [00:03,  1.33it/s, loss=nan, v_num=i6di]
Epoch 0: : 4it [00:03,  1.33it/s, loss=nan, v_num=i6di]
Epoch 0: : 5it [00:03,  1.55it/s, loss=nan, v_num=i6di]
Epoch 0: : 5it [00:03,  1.55it/s, loss=nan, v_num=i6di]
